id,is_pyq,question_number,total_marks,pyq_year,month,paper_number,Time Zone,question_text,tags,section,subject,explanation,calculator,correct_answer,difficulty,created_at,image_url,solution_steps,solution_image,question_type,mark_allocation,board,grade,topic,subtopic,source,paper_type,updated_at,created_by,is_active,year,options
,TRUE,1,4,2022,Nov,Paper 1,TZ0,"The function $g$ is defined by $g(x)=\mathrm{e}^{x^{2}+1}$, where $x \in \mathbb{R}$.\\
Find $g^{\prime}(-1)$.",Differential Calculus,5. Calculus,HL,"\begin{enumerate}
  \item $g^{\prime}(x)=2 x \mathrm{e}^{x^{2}+1}$\\
substitute $x=-1$ into their derivative\\
$g^{\prime}(-1)=-2 \mathrm{e}^{2}$\\",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,2,7,2022,Nov,Paper 1,TZ0,"Consider a circle with a diameter AB , where A has coordinates $(1,4,0)$ and B has coordinates $(-3,2,-4)$.\\
(a) Find\\
(i) the coordinates of the centre of the circle;\\
(ii) the radius of the circle.

The circle forms the base of a right cone whose vertex V has coordinates $(-1,-1,0)$.\\
diagram not to scale

\includegraphics[width=0.4\textwidth]{2024_09_19_d3e901d15bf4f1ddeb9eg-04}\\
(b) Find the exact volume of the cone. \\",Geometry,3. Geometry and Trigonometry,HL,"(a) (i) attempt to find midpoint of $A$ and $B$\\
centre $(-1,3,-2)$ (accept vector notation and/or missing brackets)\\
(ii) attempt to find $A B$ or half of $A B$ or distance between the centre and $A$ (or $B$ )\\
$\frac{\sqrt{4^{2}+2^{2}+4^{2}}}{2}$ or $\sqrt{2^{2}+1^{2}+2^{2}}$\\
$=3$\\
(b) attempt to find the distance between their centre and V\\
(the perpendicular height of the cone)


\begin{align*}
& \sqrt{0^{2}+4^{2}+2^{2}} \text { OR } \sqrt{(\text { their slant height })^{2}-(\text { their radius })^{2}} \\
& =\sqrt{20}(=2 \sqrt{5}) \\
& \text { Volume }=\frac{1}{3} \pi 3^{2} \sqrt{20} \\
& =3 \pi \sqrt{20}(=6 \pi \sqrt{5})
\end{align*}",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,3,5,2022,Nov,Paper 1,TZ0,"Let $a$ be a constant, where $a>1$.\\
(a) Show that $a^{2}+\left(\frac{a^{2}-1}{2}\right)^{2}=\left(\frac{a^{2}+1}{2}\right)^{2}$.

Consider a right-angled triangle with sides of length $a,\left(\frac{a^{2}-1}{2}\right)$ and $\left(\frac{a^{2}+1}{2}\right)$.\\
(b) Find an expression for the area of the triangle in terms of $a$.",Proofs,1. Numbers and Algebra,HL,"\section*{METHOD 1 (working with LHS)}
attempting to expand $\left(a^{2}-1\right)^{2}$ (do not accept $a^{4}+1$ or $a^{4}-1$ )\\
LHS $=a^{2}+\frac{a^{4}-2 a^{2}+1}{4}$ or $\frac{4 a^{2}+a^{4}-2 a^{2}+1}{4}$\\
$=\frac{a^{4}+2 a^{2}+1}{4}$\\
$=\left(\frac{a^{2}+1}{2}\right)^{2}(=$ RHS $)$\\


\section*{METHOD 2 (working with RHS)}
attempting to expand $\left(a^{2}+1\right)^{2}$\\
RHS $=\frac{a^{4}+2 a^{2}+1}{4}$

$$
=\frac{4 a^{2}+a^{4}-2 a^{2}+1}{4}
$$

$=a^{2}+\frac{a^{4}-2 a^{2}+1}{4}$\\
$=a^{2}+\left(\frac{a^{2}-1}{2}\right)^{2}(=$ LHS $)$\\.                 (b) recognise base and height as $a$ and $\left(\frac{a^{2}-1}{2}\right)$ (may be seen in diagram)\\
correct substitution into triangle area formula

$$
\text { Area }=\frac{a}{2}\left(\frac{a^{2}-1}{2}\right) \text { (or equivalent) }\left(=\frac{a\left(a^{2}-1\right)}{4}=\frac{a^{3}-a}{4}\right)
$$",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,4,5,2022,Nov,Paper 1,TZ0,"The derivative of the function $f$ is given by $f^{\prime}(x)=\frac{6 x}{x^{2}+1}$.\\
The graph of $y=f(x)$ passes through the point $(1,5)$. Find an expression for $f(x)$. \\",Integral Calculus,5. Calculus,HL,"\begin{enumerate}
  \setcounter{enumi}{3}
  \item recognizing need to integrate\\
$\int \frac{6 x}{x^{2}+1} \mathrm{~d} x$ OR $u=x^{2}+1 \quad$ OR $\frac{\mathrm{d} u}{\mathrm{~d} x}=2 x$\\
$\int \frac{3}{u} \mathrm{~d} u \quad$ OR $3 \int \frac{2 x}{x^{2}+1} \mathrm{~d} x$\\
$=3 \ln \left(x^{2}+1\right)(+c)$ or $3 \ln u(+c)$\\
correct substitution of $x=1$ and $f(x)=5$ or $x=1$ and $u=2$ into equation\\
using their integrated expression (must involve $c$ )\\
$5=3 \ln 2+c$\\
$f(x)=3 \ln \left(x^{2}+1\right)+5-3 \ln 2\left(=3 \ln \left(x^{2}+1\right)+5-\ln 8=3 \ln \left(\frac{x^{2}+1}{2}\right)+5\right)$ (or equivalent)\\",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,5,7,2022,Nov,Paper 1,TZ0,"Consider the equation $z^{4}+p z^{3}+54 z^{2}-108 z+80=0$ where $z \in \mathbb{C}$ and $p \in \mathbb{R}$.\\
Three of the roots of the equation are $3+\mathrm{i}, \alpha$ and $\alpha^{2}$, where $\alpha \in \mathbb{R}$.\\
(a) By considering the product of all the roots of the equation, find the value of $\alpha$.\\
(b) Find the value of $p$.

\includegraphics[width=0.4\textwidth]{2024_09_19_d3e901d15bf4f1ddeb9eg-07}\\",Complex Numbers,1. Numbers and Algebra,HL,"\item (a) product of roots $=80$\\
$3-\mathrm{i}$ is a root\\
attempt to set up an equation involving the product of their four roots and $\pm 80$
\end{enumerate}

$$
\begin{aligned}
& (3+i)(3-i) \alpha^{3}=80 \Rightarrow 10 \alpha^{3}=80 \\
& \alpha=2
\end{aligned}
$$

(b) METHOD 1\\
sum of roots $=-p$\\
$-p=3+\mathrm{i}+3-\mathrm{i}+2+4$



\section*{METHOD 2}
$(z-(3+\mathrm{i}))(z-(3-\mathrm{i}))(z-2)(z-4)$\\
$((z-3)-i)((z-3)+i)(z-2)(z-4)$\\
$\left(z^{2}-6 z+10\right)\left(z^{2}-6 z+8\right)=z^{4}-12 z^{3}+\ldots$\\
$p=-12$\\",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,6,6,2022,Nov,Paper 1,TZ0,"Events $A$ and $B$ are such that $\mathrm{P}(A)=0.3$ and $\mathrm{P}(B)=0.8$.\\
(a) Determine the value of $\mathrm{P}(A \cap B)$ in the case where the events $A$ and $B$ are independent. [1]\\
(b) Determine the minimum possible value of $\mathrm{P}(A \cap B)$.\\
(c) Determine the maximum possible value of $\mathrm{P}(A \cap B)$, justifying your answer. \\",Probability,4. Statistics and Probability,HL,"a) $\mathrm{P}(A \cap B)=0.24$\\
(b) $\mathrm{P}(A \cup B)=1.1-\mathrm{P}(A \cap B)$\\
$(0 \leq) \mathrm{P}(A \cup B) \leq 1$\\
(c) A is a subset of B (so $\mathrm{P}(A \cap B)=\mathrm{P}(A)$ ).",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,7,7,2022,Nov,Paper 1,TZ0,"Consider the curve with equation $\left(x^{2}+y^{2}\right) y^{2}=4 x^{2}$ where $x \geq 0$ and $-2<y<2$.\\
Show that the curve has no local maximum or local minimum points for $x>0$. \\",Differential Calculus,5. Calculus,HL,"attempt at implicit differentiation, including use of the product rule

\section*{EITHER}
$\left(2 x+2 y \frac{\mathrm{~d} y}{\mathrm{~d} x}\right) y^{2}+\left(x^{2}+y^{2}\right) 2 y \frac{\mathrm{~d} y}{\mathrm{~d} x}=8 x$\\
Note: Award $\boldsymbol{A} 1$ for each of $\left(2 x+2 y \frac{\mathrm{~d} y}{\mathrm{~d} x}\right) y^{2},\left(x^{2}+y^{2}\right) 2 y \frac{\mathrm{~d} y}{\mathrm{~d} x}$ and $8 x$.

\section*{OR}
$$
\begin{aligned}
& x^{2} y^{2}+y^{4}=4 x^{2} \\
& 2 x y^{2}+2 x^{2} y \frac{\mathrm{~d} y}{\mathrm{~d} x}+4 y^{3} \frac{\mathrm{~d} y}{\mathrm{~d} x}=8 x
\end{aligned}
$$

Note: Award $\boldsymbol{A} 1$ for each of $2 x y^{2}+2 x^{2} y \frac{\mathrm{~d} y}{\mathrm{~d} x}, 4 y^{3} \frac{\mathrm{~d} y}{\mathrm{~d} x}$ and $8 x$.

\section*{THEN}
at a local maximum or minimum point, $\frac{\mathrm{d} y}{\mathrm{~d} x}=0$\\
$2 x y^{2}=8 x$\\
$x=0$ or $y^{2}=4(\Rightarrow y= \pm 2)$\\",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,8,5,2022,Nov,Paper 1,TZ0,"Let $f(x)=\cos (x-k)$, where $0 \leq x \leq a$ and $a, k \in \mathbb{R}^{+}$.\\
(a) Consider the case where $k=\frac{\pi}{2}$.

By sketching a suitable graph, or otherwise, find the largest value of $a$ for which the inverse function $f^{-1}$ exists.\\
(b) Find the largest value of $a$ for which the inverse function $f^{-1}$ exists in the case where $k=\pi$.\\
(c) Find the largest value of $a$ for which the inverse function $f^{-1}$ exists in the case where $\pi<k<2 \pi$. Give your answer in terms of $k$. \\","Trigonometric Functions
Properties of Functions","3. Geometry and Trigonometry
2. Functions",HL,"(a) $$
a=\frac{\pi}{2}
$$


(b) $a=\pi$\\
(c)\\
\includegraphics[width=0.4\textwidth]{2024_10_08_34d480a447f7df3ff78cg-15}\\
sketch showing sinusoidal shape decreasing as it crosses the $y$-axis (below or above the origin)\\
$a=k-\pi$\\",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,9,10,2022,Nov,Paper 1,TZ0,"Consider the homogeneous differential equation $\frac{\mathrm{d} y}{\mathrm{~d} x}=\frac{y^{2}-2 x^{2}}{x y}$, where $x, y \neq 0$.\\
It is given that $y=2$ when $x=1$.\\
(a) By using the substitution $y=v x$, solve the differential equation. Give your answer in the form $y^{2}=f(x)$.

The points of zero gradient on the curve $y^{2}=f(x)$ lie on two straight lines of the form $y=m x$ where $m \in \mathbb{R}$.\\
(b) Find the values of $m$. ",Differential Equations,5. Calculus,HL,"(a) $\frac{\mathrm{d} y}{\mathrm{~d} x}=\frac{y^{2}-2 x^{2}}{x y}$\\
let $y=v x$


\begin{align*}
& \Rightarrow \frac{\mathrm{d} y}{\mathrm{~d} x}=v+x \frac{\mathrm{~d} v}{\mathrm{~d} x}  \tag{A1}\\
& \Rightarrow v+x \frac{\mathrm{~d} v}{\mathrm{~d} x}=\frac{v^{2} x^{2}-2 x^{2}}{v x^{2}}  \tag{M1}\\
& \Rightarrow x \frac{\mathrm{~d} v}{\mathrm{~d} x}=\frac{-2}{v}  \tag{A1}\\
& \Rightarrow \int v \mathrm{~d} v=-\int \frac{2}{x} \mathrm{~d} x \\
& \Rightarrow \frac{v^{2}}{2}=-2 \ln |x|(+c)
\end{align*}



$$
\Rightarrow \frac{y^{2}}{2 x^{2}}=-2 \ln |x|+c
$$

attempt to substitute $x=1, y=2$ into their integrated expression to find $c$

$$
\begin{aligned}
& \Rightarrow 2=-2 \ln |1|+c \Rightarrow c=2 \\
& \Rightarrow \frac{y^{2}}{2 x^{2}}=-2 \ln |x|+2 \\
& \Rightarrow y^{2}=2 x^{2}(-2 \ln |x|+2)\left(=4 x^{2}(1-\ln |x|)\right)
\end{aligned}
$$


(b) attempt to set $\frac{\mathrm{d} y}{\mathrm{~d} x}=0$ in the differential equation


\begin{equation*}
y=\sqrt{2} x \text { and } y=-\sqrt{2} x \text { or } m= \pm \sqrt{2} \tag{A1}
\end{equation*}
",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
,TRUE,10,20,2022,Nov,Paper 1,TZ0,"The function $f$ is defined by $f(x)=\cos ^{2} x-3 \sin ^{2} x, 0 \leq x \leq \pi$.\\
(a) Find the roots of the equation $f(x)=0$.\\
(b) (i) Find $f^{\prime}(x)$.\\
(ii) Hence find the coordinates of the points on the graph of $y=f(x)$ where $f^{\prime}(x)=0$.\\
(c) Sketch the graph of $y=|f(x)|$, clearly showing the coordinates of any points where $f^{\prime}(x)=0$ and any points where the graph meets the coordinate axes.\\
(d) Hence or otherwise, solve the inequality $|f(x)|>1$.\\","Trigonometric Functions
Differential Equations
Modulus & Inequalities","3. Geometry and Trigonometry
5. Calculus
2. Functions",HL,"\begin{enumerate}
  \setcounter{enumi}{9}
  \item (a) $\cos ^{2} x-3 \sin ^{2} x=0$\\
valid attempt to reduce equation to one involving one trigonometric function\\
$\frac{\sin ^{2} x}{\cos ^{2} x}=\frac{1}{3} \quad$ OR $\quad 1-\sin ^{2} x-3 \sin ^{2} x=0 \quad$ OR $\quad \cos ^{2} x-3\left(1-\cos ^{2} x\right)=0$\\
OR $\cos 2 x-1+\cos 2 x=0$\\
correct equation\\
$\tan ^{2} x=\frac{1}{3}$ OR $\cos ^{2} x=\frac{3}{4}$ OR $\sin ^{2} x=\frac{1}{4}$ OR $\cos 2 x=\frac{1}{2}$\\
$\tan x= \pm \frac{1}{\sqrt{3}}$ OR $\cos x= \pm \frac{\sqrt{3}}{2}$ OR $\sin x=( \pm) \frac{1}{2}$ OR $2 x=\frac{\pi}{3}\left(, \frac{5 \pi}{3}\right)$\\
$x=\frac{\pi}{6}, x=\frac{5 \pi}{6}$\\
Note: Award M1A1A0A1A0 for candidates who omit the $\pm$ (for tan or cos) and give only $x=\frac{\pi}{6}$.
\end{enumerate}

(b) (i) attempt to use the chain rule (may be evidenced by at least one $\cos x \sin x$ term)\\
(ii) valid attempt to solve their $f^{\prime}(x)=0$\\
at least 2 correct $x$-coordinates (may be seen in coordinates)

$$
x=0, x=\frac{\pi}{2}, x=\pi
$$

$$
(0,1),(\pi, 1),\left(\frac{\pi}{2},-3\right)
$$


(c)\\
\includegraphics[width=0.4\textwidth]{2024_10_08_34d480a447f7df3ff78cg-20}\\
attempt to reflect the negative part of the graph of $f$ in the $x$-axis\\
endpoints have coordinates $(0,1),(\pi, 1)$\\
smooth maximum at $\left(\frac{\pi}{2}, 3\right)$\\
sharp points ( cusps ) at $x$-intercepts $\frac{\pi}{6}, \frac{5 \pi}{6}$

(d) considers points of intersection of $y=|f(x)|$ and $y=1$ on graph or algebraically


\begin{align*}
& -\left(\cos ^{2} x-3 \sin ^{2} x\right)=1 \text { or }-\left(1-4 \sin ^{2} x\right)=1 \text { or }-\left(4 \cos ^{2} x-3\right)=1 \text { or }-(2 \cos 2 x-1)=1 \\
& \tan ^{2} x=1 \text { or } \sin ^{2} x=\frac{1}{2} \text { or } \cos ^{2} x=\frac{1}{2} \text { or } \cos 2 x=0  \tag{A1}\\
& x=\frac{\pi}{4}, \frac{3 \pi}{4}  \tag{A1}\\
& \text { For }|f(x)|>1 \\
& \frac{\pi}{4}<x<\frac{3 \pi}{4}
\end{align*}",Calculator Not Allowed,,,,,,,,,IBDP,,,,,,,,TRUE,2025,
