Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome
1,SL 1.1,SL 1.1a,Understanding Powers of 10 and Place Value,Recognizing how powers of 10 represent scale and position within our number system.,Students explore how repeated multiplication/division by 10 shifts decimal places and connects to exponent notation.,"Understand, represent",Paper 1 (non-calculator),2 / 10,Students should be able to express integers and decimals as powers of 10 and interpret their magnitudes conceptually.
2,SL 1.1,SL 1.1b,Converting Between Standard and Scientific Form,Translating numbers between decimal and scientific representations while maintaining precision.,"Practice expressing quantities as a × 10ᵏ (1 ≤ a < 10, k ∈ ℤ) and back; handle positive and negative exponents accurately.","Apply, convert, estimate",Paper 1 (symbolic accuracy),3 / 10,Students should be able to convert any number between forms and identify correct significant figures and exponents.
3,SL 1.1,SL 1.1c,Applying Orders of Magnitude in Context,"Using scientific notation to compare, model, and estimate real-world quantities.","Students use scientific notation to compare vastly different scales (atoms, planets, GDP, etc.) and make order-of-magnitude estimates.","Model, interpret, estimate",Paper 2 (contextual application),4 / 10,Students should be able to apply orders of magnitude reasoning to contextual problems and justify the appropriateness of their approximations.
4,SL 1.2,SL 1.2a,Introduction to Arithmetic Sequences,Understanding the pattern and structure of arithmetic sequences.,"Students identify common differences, write general terms, and recognize arithmetic sequences in real contexts.","Identify, recognize, apply",Paper 1 (pattern recognition),3 / 10,Students should be able to identify arithmetic sequences and find the common difference and first term.
5,SL 1.2,SL 1.2b,Arithmetic Sequence Formulae and Applications,Applying the nth term and sum formulae for arithmetic sequences.,Students derive and use uₙ = u₁ + (n-1)d and Sₙ = n/2[2u₁ + (n-1)d] to solve problems including simple interest.,"Apply, calculate, solve",Paper 1 (formula application),4 / 10,Students should be able to find any term and sum of arithmetic sequences using appropriate formulae.
6,SL 1.2,SL 1.2c,Sigma Notation and Arithmetic Series,Understanding and using sigma notation for arithmetic series.,"Students learn to write arithmetic series using Σ notation and evaluate sums, connecting to real-world applications.","Represent, evaluate, interpret",Paper 1 (notation and calculation),5 / 10,Students should be able to express arithmetic series in sigma notation and evaluate sums accurately.
7,SL 1.3,SL 1.3a,Introduction to Geometric Sequences,Understanding the pattern and structure of geometric sequences.,"Students identify common ratios, write general terms, and recognize geometric sequences in contexts like population growth.","Identify, recognize, apply",Paper 1 (pattern recognition),3 / 10,Students should be able to identify geometric sequences and find the common ratio and first term.
8,SL 1.3,SL 1.3b,Geometric Sequence Formulae and Applications,Applying the nth term and sum formulae for geometric sequences.,"Students derive and use uₙ = u₁r^(n-1) and Sₙ = u₁(r^n - 1)/(r - 1) for r ≠ 1, including compound interest applications.","Apply, calculate, solve",Paper 1 (formula application),4 / 10,Students should be able to find any term and sum of geometric sequences using appropriate formulae.
9,SL 1.3,SL 1.3c,Sigma Notation and Geometric Series,Understanding and using sigma notation for geometric series.,"Students learn to write geometric series using Σ notation and evaluate sums, connecting to exponential growth models.","Represent, evaluate, interpret",Paper 1 (notation and calculation),5 / 10,Students should be able to express geometric series in sigma notation and evaluate sums accurately.
10,SL 1.4,SL 1.4a,Financial Applications of Geometric Sequences,Understanding compound interest as a geometric sequence application.,"Students explore how compound interest grows exponentially, connecting geometric sequences to real financial contexts.","Model, interpret, apply",Paper 2 (financial applications),4 / 10,Students should be able to model compound interest problems using geometric sequences and calculate investment values.
