Sl. No.,Unit,Chapter,Topics,Lesson ID,Lessons,Tags
1,Quantitative Reasinging Applications,Quantitative Comparisons,Inequality logic,gre_lid_001,GRE QC format tricks,"GRE, test-prep, inequality, comparison, strategy"
2,Quantitative Reasinging Applications,Quantitative Comparisons,Estimation,gre_lid_002,Elimination strategies,"GRE, approximation, test-strategy, elimination"
3,Quantitative Reasinging Applications,Word Problems,Rate problems,gre_lid_003,Translation practice,"word-problems, rate, speed, distance, application"
4,Quantitative Reasinging Applications,Word Problems,Work problems,gre_lid_004,Logical traps,"word-problems, work-rate, efficiency, logical-reasoning"
5,Quantitative Reasinging Applications,Word Problems,Mixture problems,gre_lid_005,Setting up equations,"word-problems, mixture, concentration, equations"
6,Quantitative Reasinging Applications,Word Problems,Percent word problems,gre_lid_006,Reverse percent,"word-problems, percentage, application, reverse-calculation"
7,Quantitative Reasinging Applications,Word Problems,Ratio word problems,gre_lid_007,Proportion setup,"word-problems, ratio, proportion, application"
8,Quantitative Reasinging Applications,Data Sufficiency,Interpreting question conditions,gre_lid_008,Recognizing redundant data,"GRE, GMAT, data-sufficiency, logical-reasoning, test-strategy"
9,Quantitative Reasinging Applications,Data Sufficiency,Statement analysis,gre_lid_009,Recognizing sufficient data,"GRE, GMAT, data-sufficiency, analysis, logical-reasoning"
10,Quantitative Reasinging Applications,GRE Strategy,Estimation,gre_lid_010,Strategic guessing,"GRE, test-strategy, time-management, approximation"
11,Quantitative Reasinging Applications,GRE Strategy,Plugging in,gre_lid_011,Time saving techniques,"GRE, test-strategy, substitution, shortcuts, time-management"
12,Quantitative Reasinging Applications,GRE Strategy,Approximation,gre_lid_012,Answer elimination,"GRE, test-strategy, estimation, elimination, shortcuts"
13,Data Analytics,Descriptive Statistics,Mean,gre_lid_013,Data summary,"statistics, average, central-tendency, descriptive-stats"
14,Data Analytics,Descriptive Statistics,Median,gre_lid_014,Central tendency,"statistics, median, central-tendency, descriptive-stats"
15,Data Analytics,Descriptive Statistics,Mode,gre_lid_015,Frequency analysis,"statistics, mode, frequency, central-tendency, descriptive-stats"
16,Data Analytics,Descriptive Statistics,Range,gre_lid_016,Data spread,"statistics, range, dispersion, variability, descriptive-stats"
17,Data Analytics,Descriptive Statistics,Standard Deviation,gre_lid_017,Variance interpretation,"statistics, standard-deviation, variance, dispersion, descriptive-stats"
18,Data Analytics,Descriptive Statistics,Z-score,gre_lid_018,Standardization,"statistics, z-score, standardization, normal-distribution"
19,Data Analytics,Data Interpretation,Tables,gre_lid_019,Reading data sets,"data-interpretation, tables, analysis, reading-data"
20,Data Analytics,Data Interpretation,Graphs,gre_lid_020,Comparing data sets,"data-interpretation, graphs, visualization, comparison, analysis"
21,Data Analytics,Data Interpretation,Charts,gre_lid_021,Trend analysis,"data-interpretation, charts, visualization, trends, patterns"
22,Data Analytics,Data Interpretation,Scatterplots,gre_lid_022,Correlation interpretation,"data-interpretation, scatterplots, correlation, visualization, relationships"
23,Data Analytics,Probability,Basic probability,gre_lid_023,Sample space and events,"probability, sample-space, events, fundamentals"
24,Data Analytics,Probability,Mutually exclusive events,gre_lid_024,Either/or probability,"probability, mutually-exclusive, addition-rule, events"
25,Data Analytics,Probability,Independent events,gre_lid_025,Multiplication rule,"probability, independent-events, multiplication-rule"
26,Data Analytics,Probability,Dependent events,gre_lid_026,Conditional probability,"probability, dependent-events, conditional-probability, Bayes"
27,Data Analytics,Probability,Complementary events,gre_lid_027,P(not A) = 1 - P(A),"probability, complement, events, calculation"
28,Data Analytics,Probability,Random variables,gre_lid_028,Discrete and continuous,"probability, random-variables, discrete, continuous, distributions"
29,Data Analytics,Probability,Expected value,gre_lid_029,Mean of probability distribution,"probability, expected-value, mean, average, E(X)"
30,Data Analytics,Probability,Variance and standard deviation,gre_lid_030,Spread of distributions,"probability, variance, standard-deviation, spread, dispersion"
31,Data Analytics,Probability,Normal distribution,gre_lid_031,Bell curve and properties,"probability, normal-distribution, Gaussian, bell-curve, z-score"
32,Data Analytics,Counting Methods,Permutations,gre_lid_032,Order matters,"combinatorics, permutations, counting, arrangements, order"
33,Data Analytics,Counting Methods,Combinations,gre_lid_033,Choosing objects,"combinatorics, combinations, counting, selection, nCr"
34,Data Analytics,Counting Methods,Factorial,gre_lid_034,n! logic and simplification,"combinatorics, factorial, counting, simplification"
35,Data Analytics,Counting Methods,Venn diagrams,gre_lid_035,Set operations and overlaps,"combinatorics, Venn-diagrams, sets, union, intersection, counting"
36,Geometry,Lines & Angles,Parallel lines,gre_lid_036,Transversal angle relationships,"geometry, parallel-lines, transversal, angle-relationships"
37,Geometry,Lines & Angles,Vertical angles,gre_lid_037,Equal angle pairs,"geometry, vertical-angles, angle-pairs, congruence"
38,Geometry,Lines & Angles,Supplementary angles,gre_lid_038,Sum = 180°,"geometry, supplementary-angles, linear-pair, 180-degrees"
39,Geometry,Lines & Angles,Complementary angles,gre_lid_039,Sum = 90°,"geometry, complementary-angles, right-angle, 90-degrees"
40,Geometry,Triangles,Triangle properties,gre_lid_040,Sum of angles = 180°,"geometry, triangles, angle-sum, properties, 180-degrees"
41,Geometry,Triangles,Triangle inequality,gre_lid_041,Side length relationships,"geometry, triangles, triangle-inequality, side-relationships"
42,Geometry,Triangles,Similar triangles,gre_lid_042,Proportional sides,"geometry, triangles, similarity, proportions, AA-SAS-SSS"
