Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
2,SL 1.1,SL 1.1a,Understanding Powers of 10 and Place Value,Recognizing how powers of 10 represent scale and position within our number system.,Students explore how repeated multiplication/division by 10 shifts decimal places and connects to exponent notation.,"Understand, represent",Paper 1 (non-calculator),2 / 10,Students should be able to express integers and decimals as powers of 10 and interpret their magnitudes conceptually.,concepts,Place Value and Decimal Movement,"Powers of 10 represent our base-10 number system. Moving one decimal place right divides by 10 (multiply by $10^{-1}$), while moving left multiplies by 10. Each position represents a power: thousands = $10^3$, hundreds = $10^2$, tens = $10^1$, ones = $10^0$, tenths = $10^{-1}$, etc. Understanding this connects place value to exponent rules."
4,SL 1.1,SL 1.1b,Converting Between Standard and Scientific Form,Translating numbers between decimal and scientific representations while maintaining precision.,"Practice expressing quantities as a × 10ᵏ (1 ≤ a < 10, k ∈ ℤ) and back; handle positive and negative exponents accurately.","Apply, convert, estimate",Paper 1 (symbolic accuracy),3 / 10,Students should be able to convert any number between forms and identify correct significant figures and exponents.,concepts,Standard to Scientific Conversion,To convert to scientific notation: (1) Move decimal point to create a number between 1 and 10. (2) Count decimal places moved—this is the exponent. (3) Moving left gives positive exponent; moving right gives negative. Maintain all significant figures. Example: $0.00456 = 4.56 \times 10^{-3}$ (moved 3 places right).
6,SL 1.1,SL 1.1c,Applying Orders of Magnitude in Context,"Using scientific notation to compare, model, and estimate real-world quantities.","Students use scientific notation to compare vastly different scales (atoms, planets, GDP, etc.) and make order-of-magnitude estimates.","Model, interpret, estimate",Paper 2 (contextual application),4 / 10,Students should be able to apply orders of magnitude reasoning to contextual problems and justify the appropriateness of their approximations.,concepts,Orders of Magnitude in Real World,"Orders of magnitude help compare vastly different scales. Atom radius ≈ $10^{-10}$ m, human height ≈ $10^0$ m, Earth radius ≈ $10^7$ m. The exponent difference shows the scale gap. Estimating to nearest power of 10 helps with reasonableness checks and rapid calculations in physics, chemistry, and economics."
8,SL 1.2,SL 1.2a,Introduction to Arithmetic Sequences,Understanding the pattern and structure of arithmetic sequences.,"Students identify common differences, write general terms, and recognize arithmetic sequences in real contexts.","Identify, recognize, apply",Paper 1 (pattern recognition),3 / 10,Students should be able to identify arithmetic sequences and find the common difference and first term.,concepts,Recognizing Arithmetic Patterns,"An arithmetic sequence has a constant difference between consecutive terms. To identify: subtract any term from the next. If this difference ($d$) remains constant, it's arithmetic. Common in real contexts: ticket numbering (101, 102, 103...), linear growth patterns, evenly spaced measurements."
10,SL 1.2,SL 1.2b,Arithmetic Sequence Formulae and Applications,Applying the nth term and sum formulae for arithmetic sequences.,Students derive and use uₙ = u₁ + (n-1)d and Sₙ = n/2[2u₁ + (n-1)d] to solve problems including simple interest.,"Apply, calculate, solve",Paper 1 (formula application),4 / 10,Students should be able to find any term and sum of arithmetic sequences using appropriate formulae.,concepts,Applications of Arithmetic Sequences,"Arithmetic sequences model linear growth. Simple interest: $A = P + nI$ follows arithmetic pattern. Savings plans with fixed monthly deposits create arithmetic sums. The sum formula adds all terms efficiently—key for finding total savings, total distance traveled at constant acceleration, or cumulative production over time periods."
12,SL 1.2,SL 1.2c,Sigma Notation and Arithmetic Series,Understanding and using sigma notation for arithmetic series.,"Students learn to write arithmetic series using Σ notation and evaluate sums, connecting to real-world applications.","Represent, evaluate, interpret",Paper 1 (notation and calculation),5 / 10,Students should be able to express arithmetic series in sigma notation and evaluate sums accurately.,concepts,Understanding Sigma Notation,"Sigma (Σ) notation compactly represents series. $\sum_{k=1}^{n}$ means 'sum from $k=1$ to $k=n$'. The expression after Σ defines each term. For arithmetic series, identify the pattern, express the $k$th term, then sum. This notation is essential for communicating mathematical ideas efficiently and appears throughout higher mathematics."
14,SL 1.3,SL 1.3a,Introduction to Geometric Sequences,Understanding the pattern and structure of geometric sequences.,"Students identify common ratios, write general terms, and recognize geometric sequences in contexts like population growth.","Identify, recognize, apply",Paper 1 (pattern recognition),3 / 10,Students should be able to identify geometric sequences and find the common ratio and first term.,concepts,Recognizing Geometric Patterns,"A geometric sequence has a constant ratio between consecutive terms. To identify: divide any term by the previous term. If this ratio ($r$) remains constant, it's geometric. Common in nature: bacterial growth ($r>1$), radioactive decay ($0<r<1$), compound interest. Unlike arithmetic (add), geometric multiplies each term."
16,SL 1.3,SL 1.3b,Geometric Sequence Formulae and Applications,Applying the nth term and sum formulae for geometric sequences.,"Students derive and use uₙ = u₁r^(n-1) and Sₙ = u₁(r^n - 1)/(r - 1) for r ≠ 1, including compound interest applications.","Apply, calculate, solve",Paper 1 (formula application),4 / 10,Students should be able to find any term and sum of geometric sequences using appropriate formulae.,concepts,Compound Interest as Geometric Growth,"Compound interest follows geometric sequence: initial amount $P$, after each period multiply by $(1+i)$. After $n$ periods: $A = P(1+i)^n$. This is a geometric sequence with $r=(1+i)$. Each term represents balance after that period. The exponential growth explains why starting early with investments is powerful."
18,SL 1.3,SL 1.3c,Sigma Notation and Geometric Series,Understanding and using sigma notation for geometric series.,"Students learn to write geometric series using Σ notation and evaluate sums, connecting to exponential growth models.","Represent, evaluate, interpret",Paper 1 (notation and calculation),5 / 10,Students should be able to express geometric series in sigma notation and evaluate sums accurately.,concepts,Geometric Series in Exponential Models,"Geometric series model exponential growth/decay. Population doubling: $\sum_{k=0}^{n} P_0 \cdot 2^k$ gives cumulative population over generations. Medicine: drug dosage accumulation follows geometric series. Index starts at 0 for $r^0=1$ (first term). Understanding this notation helps analyze compound phenomena in biology, finance, and physics."
20,SL 1.4,SL 1.4a,Financial Applications of Geometric Sequences,Understanding compound interest as a geometric sequence application.,"Students explore how compound interest grows exponentially, connecting geometric sequences to real financial contexts.","Model, interpret, apply",Paper 2 (financial applications),4 / 10,Students should be able to model compound interest problems using geometric sequences and calculate investment values.,concepts,Exponential Growth in Finance,"Compound interest creates exponential growth because interest earns interest. Each period, balance becomes $P(1+r)^n$—a geometric sequence with ratio $(1+r)$. Even small rates compound significantly over time. Example: 7% doubles money in ~10 years. Understanding this is crucial for investment planning, loans, and retirement savings. The 'Rule of 72' approximates doubling time."
